1002 5000
1000 753 1
1 34 1
1 184 1
1 200 1
1 260 1
1 432 1
1 470 1
1 481 1
1 584 1
1 790 1
2 167 1
2 748 1
3 122 1
3 217 1
3 783 1
3 821 1
3 862 1
3 926 1
4 171 1
4 181 1
4 397 1
4 559 1
4 953 1
5 119 1
5 414 1
6 305 1
7 479 1
8 1 1
8 50 1
8 73 1
8 131 1
8 198 1
8 491 1
8 680 1
8 706 1
8 731 1
8 800 1
8 861 1
9 178 1
9 207 1
9 395 1
9 529 1
9 592 1
9 861 1
10 573 1
11 406 1
11 642 1
12 81 1
12 173 1
12 479 1
12 623 1
12 647 1
12 677 1
12 762 1
12 776 1
12 797 1
12 836 1
12 898 1
13 248 1
13 281 1
13 515 1
13 622 1
14 174 1
14 234 1
14 370 1
14 722 1
15 268 1
15 370 1
15 688 1
15 729 1
15 751 1
15 825 1
15 909 1
17 22 1
17 194 1
17 273 1
17 350 1
17 476 1
17 673 1
18 61 1
18 182 1
18 261 1
18 702 1
18 871 1
18 956 1
20 16 1
20 124 1
20 361 1
20 829 1
20 908 1
21 476 1
22 167 1
22 304 1
22 391 1
22 748 1
22 797 1
23 76 1
23 182 1
23 659 1
24 244 1
24 401 1
24 516 1
24 637 1
24 735 1
24 816 1
24 854 1
24 867 1
25 140 1
25 229 1
25 355 1
25 435 1
25 467 1
25 522 1
25 663 1
25 686 1
25 749 1
25 819 1
25 943 1
26 23 1
26 297 1
26 413 1
26 508 1
26 587 1
26 613 1
26 719 1
26 843 1
26 992 1
27 482 1
27 532 1
27 576 1
27 584 1
27 622 1
27 687 1
27 942 1
28 52 1
28 304 1
28 748 1
30 1000 1
30 83 1
30 88 1
30 288 1
30 379 1
30 760 1
30 761 1
30 813 1
31 683 1
31 730 1
31 752 1
31 754 1
31 871 1
31 921 1
31 941 1
32 551 1
32 898 1
34 51 1
34 275 1
34 313 1
34 386 1
34 417 1
34 423 1
34 453 1
34 532 1
34 691 1
34 761 1
35 51 1
35 237 1
35 422 1
36 92 1
36 124 1
36 486 1
36 769 1
36 771 1
36 788 1
36 854 1
36 938 1
37 41 1
37 148 1
38 398 1
38 413 1
38 590 1
38 947 1
38 983 1
39 79 1
39 157 1
39 201 1
39 267 1
39 323 1
39 817 1
39 937 1
40 111 1
40 211 1
40 839 1
41 119 1
42 277 1
42 312 1
42 361 1
43 137 1
43 334 1
43 465 1
43 603 1
43 615 1
43 824 1
43 958 1
44 33 1
44 34 1
44 184 1
44 235 1
44 424 1
44 459 1
44 546 1
44 620 1
44 624 1
44 659 1
44 660 1
44 702 1
44 705 1
44 833 1
46 91 1
46 259 1
46 276 1
46 293 1
46 295 1
46 390 1
46 553 1
46 556 1
46 879 1
46 928 1
46 986 1
47 552 1
47 748 1
47 760 1
47 785 1
47 904 1
48 142 1
48 501 1
48 564 1
48 588 1
48 665 1
48 787 1
48 814 1
48 873 1
48 923 1
48 979 1
49 211 1
49 356 1
49 432 1
49 726 1
49 975 1
50 103 1
50 112 1
50 185 1
50 232 1
50 334 1
50 362 1
50 614 1
50 647 1
50 799 1
50 987 1
51 7 1
51 182 1
52 81 1
52 203 1
52 379 1
52 443 1
52 771 1
52 773 1
52 870 1
53 167 1
54 66 1
54 229 1
54 371 1
54 566 1
54 590 1
54 826 1
55 312 1
55 380 1
55 418 1
55 573 1
56 305 1
57 774 1
57 820 1
58 165 1
58 409 1
58 449 1
58 566 1
58 778 1
58 785 1
58 803 1
58 901 1
59 159 1
59 204 1
59 305 1
59 386 1
59 529 1
60 147 1
60 207 1
60 251 1
60 283 1
60 312 1
60 353 1
60 475 1
60 636 1
60 736 1
60 862 1
60 884 1
60 964 1
62 130 1
62 277 1
